Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABalppap	0	ABalppapa	ABalppapp	0.745359746	0.210912486	0.394001963
ABalppapa	0	ABalppapaa	ABalppapap	0.875261157	0.22122874	0.148392448
ABalppapaa	0	ABalppapaaa	ABalppapaap	0.875580619	0.229333109	-0.003540769
ABalppapap	0	ABalppapapa	ABalppapapp	0.880770526	0.250379078	-0.078624502
ABalppapp	0	ABalppappa	ABalppappp	0.88189541	-0.001885587	-0.108660918
ABalppappa	0	ABalppappaa	ABalppappap	0.87411385	0.236659914	0.232879891
ABalppappp	0	ABalppapppa	ABalppapppp	0.919569755	0.081676954	-0.047982911
ABalppp	0	ABalpppa	ABalpppp	0.883643457	0.063319994	0.144485075
ABalpppa	0	ABalpppaa	ABalpppap	0.755258324	0.36188383	-0.160609144
ABalpppaa	0	ABalpppaaa	ABalpppaap	0.531101838	0.16995345	-0.699495707
ABalpppaaa	0	ABalpppaaaa	ABalpppaaap	0.713542455	0.172643873	0.514347983
ABalpppaap	0	ABalpppaapd	ABalpppaapv	-0.287020572	-0.079804218	0.936571673
ABalpppap	0	ABalpppapa	ABalpppapp	0.692326202	0.132076572	-0.580751015
ABalpppapa	0	ABalpppapad	ABalpppapav	-0.370503727	-0.315932258	0.819316685
ABalpppapp	0	ABalpppappa	ABalpppappp	0.504525102	0.179916131	-0.707359179
ABalpppp	0	ABalppppa	ABalppppp	0.846340348	0.373751653	0.012986477
ABalppppa	0	ABalppppaa	ABalppppap	0.763581406	0.272459961	-0.461433851
ABalppppaa	0	ABalppppaad	ABalppppaav	-0.12382898	-0.575683869	0.617271833
ABalppppap	0	ABalppppapa	ABalppppapp	0.756721804	0.194849676	-0.266186549
ABalppppp	0	ABalpppppa	ABalpppppp	0.830203227	0.13142473	-0.086388213
ABalpppppa	0	ABalpppppaa	ABalpppppap	0.623248173	0.299457574	-0.562653081
ABalpppppp	0	ABalppppppa	ABalppppppp	0.609890357	0.450635554	-0.472682232
ABalppppppa	0	ABalppppppaa	ABalppppppap	0.50109249	0.663976783	-0.473190749
ABalppppppp	0	ABalpppppppa	ABalpppppppp	0.710370925	0.395735119	0.50301414
ABar	0	ABara	ABarp	0.426012409	0.014589246	-0.84023584
ABara	0	ABaraa	ABarap	0.848164552	-0.284619602	-0.240903858
ABaraa	0	ABaraaa	ABaraap	0.582936112	0.554328866	0.279028884
ABaraaa	0	ABaraaaa	ABaraaap	0.596404791	-0.294292548	-0.607976062
ABaraaaa	0	ABaraaaaa	ABaraaaap	0.674515957	-0.064025031	0.604557163
ABaraaaaa	0	ABaraaaaaa	ABaraaaaap	0.475186044	-0.676199033	-0.048969963
ABaraaaaaa	0	ABaraaaaaaa	ABaraaaaaap	0.723951807	0.046429385	-0.57600488
ABaraaaaap	0	ABaraaaaapa	ABaraaaaapp	0.724797045	-0.108175755	-0.543883741
ABaraaaap	0	ABaraaaapa	ABaraaaapp	0.658819843	0.108331814	-0.652062641
ABaraaaapa	0	ABaraaaapaa	ABaraaaapap	0.532134992	-0.074205193	-0.744372783
ABaraaap	0	ABaraaapa	ABaraaapp	0.894081333	-0.142793519	0.193091388
ABaraaapa	0	ABaraaapaa	ABaraaapap	0.871604082	-0.104307087	0.201056897
ABaraaapaa	0	ABaraaapaaa	ABaraaapaap	0.754507938	-0.069265845	-0.509383959
